week,Dia,Horário,home,img1,r1,x,r2,img2,away,Local,Transmissão
1,07/09/17,21:30,New England Patriots,,,x,,,Kansas City Chiefs,Gillette Stadium,ESPN
1,10/09/17,14:00,Buffalo Bills,,,x,,,New York Jets,New Era Field,ESPN
1,10/09/17,14:00,Washington Redskins,,,x,,,Philadelphia Eagles,Fedex Field,ESPN+
1,10/09/17,14:00,Tennessee Titans,,,x,,,Okland Raiders,Nissan Stadium,
1,10/09/17,14:00,Miami Dolphins,,,x,,,Tampa Bay Buccaneers,Hard Rock Stadium,
1,10/09/17,14:00,Houston Texans,,,x,,,Jacksonville Jaguars,NRG Stadium,ESPN
1,10/09/17,14:00,Detroit Lions,,,x,,,Arizona Cardinals,Ford Field,EIMAXX
1,10/09/17,14:00,Chicago Bears,,,x,,,Atlanta Falcons,Soldier Field,
1,10/09/17,14:00,Cincinatti Bengals,,,x,,,Baltimore Ravens,Paul Brown Stadium,
1,10/09/17,14:00,Cleveland Browns,,,x,,,Pittsburgh Steelers,Firstenergy Stadium,
1,10/09/17,17:05,Los Angeles Rams,,,x,,,Indianapolis Colts,Los Angeles Memorial Coliseum,ESPN
1,10/09/17,17:25,Green Bay Packers,,,x,,,Seattle Seahawks,Lambeau Field,ESPN+
1,10/09/17,17:25,San Francisco 49ers,,,x,,,Carolina Panthers,Levi's Stadium,
1,10/09/17,21:30,Dallas Cowboys,,,x,,,New York Giants,AT&T Stadium,ESPN
1,11/09/17,20:10,Minnesota Vikings,,,x,,,New Orleans Saints,US Bank Stadium,ESPN
1,11/09/17,23:20,Denver Broncos,,,x,,,Los Angeles Chargers,Sports Authority Field at Mile High,ESPN
2,14/09/17,21:25,Cincinatti Bengals,,,x,,,Houston Texans,Paul Brown Stadium,ESPN
2,17/09/17,14:00,Baltimore Ravens,,,x,,,Cleveland Browns,M&T Bank Stadium,ESPN
2,17/09/17,14:00,Tampa Bay Buccaneers,,,x,,,Chicago Bears,Raymond James Stadium,ESPN+
2,17/09/17,14:00,Pittsburgh Steelers,,,x,,,Minnesota Vikings,Heinz Field,
2,17/09/17,14:00,New Orleans Saints,,,x,,,New England Patriots,Mercedez-Benz Superdome,
2,17/09/17,14:00,Kansas City Chiefs,,,x,,,Philadelphia Eagles,Arrowhead Stadium,ESPN
2,17/09/17,14:00,Jacksonville Jaguars,,,x,,,Tennessee Titans,Everbank Field,EIMAXX
2,17/09/17,14:00,Indianapolis Colts,,,x,,,Arizona Cardinals,Lucas Oil Stadium,
2,17/09/17,14:00,Carolina Panthers,,,x,,,Buffalo Bills,Bank of America Stadium,
2,17/09/17,17:05,Oakland Raiders,,,x,,,New York Jets,Oakland Coliseum,
2,17/09/17,17:05,Los Angeles Chargers,,,x,,,Miami Dolphins,Stubhub Center,ESPN
2,17/09/17,17:25,Seattle Seahawks,,,x,,,San Francisco 49ers,CenturyLink Field,ESPN+
2,17/09/17,17:25,Los Angeles Rams,,,x,,,Washington Redskins,Los Angeles Memorial Coliseum,
2,17/09/17,17:25,Denver Broncos,,,x,,,Dallas Cowboys,Sports Authority Field at Mile High,ESPN
2,17/09/17,21:30,Atlanta Falcons,,,x,,,Green Bay Packers,Mercedez-Benz Stadium,ESPN
2,18/09/17,21:30,New York Giants,,,x,,,Detroit Lions,MetLife Stadium,ESPN
